title,agent_id,type,status,location,price,size,bedrooms,bathrooms,year_built,furnishing,features,availability_date,viewings_available,viewings_booked
Spacious 5-Bed House,2,house,rent,west bridgford,2000,2200,5,3,2014,none,"['garden', 'garage', 'office']",2025-02-15T00:00:00,"['2025-01-21T11:00:00', '2025-01-22T15:00:00']",['2025-02-19T16:00:00']
Modern 3-Bed Apartment,3,apartment,sale,lenton,320000,1000,3,2,2021,full,"['gym', 'elevator', 'balcony']",2025-03-01T00:00:00,"['2025-01-21T11:00:00', '2025-01-22T15:00:00']",['2025-03-06T11:00:00']
Cozy 1-Bed Studio,4,studio,rent,beeston,800,450,1,1,2020,full,"['close to transport', 'secure entry']",2025-01-25T00:00:00,"['2025-01-29T13:00:00', '2025-01-22T15:00:00']",[ '2025-01-21T11:00:00']
Detached 4-Bed House,5,house,sale,sneinton,450000,1800,4,2,2013,part,"['garden', 'garage', 'conservatory']",2025-04-10T00:00:00,"['2025-01-21T11:00:00', '2025-01-22T15:00:00']",['2025-04-15T14:00:00']
Luxury 2-Bed Penthouse,6,penthouse,sale,the park,600000,1250,2,2,2022,full,"['roof terrace', 'ensuite', 'parking']",2025-02-05T00:00:00,"['2025-01-21T11:00:00', '2025-01-22T15:00:00']",['2025-02-09T14:00:00']
Renovated 3-Bed Cottage,7,cottage,sale,arnold,280000,950,3,1,1935,part,"['garden', 'character features']",2025-03-15T00:00:00,"['2025-01-21T11:00:00', '2025-01-22T15:00:00']",['2025-03-20T11:00:00']
Modern 1-Bed Flat,8,flat,rent,mapperley,900,500,1,1,2021,full,"['balcony', 'open plan']",2025-01-30T00:00:00,"['2025-01-21T11:00:00', '2025-01-22T15:00:00']",['2025-02-03T12:00:00']
Spacious 6-Bed House,9,house,sale,wollaton,700000,2500,6,4,2010,none,"['double garage', 'garden', 'office']",2025-02-28T00:00:00,"['2025-01-21T11:00:00', '2025-01-22T15:00:00']",['2025-03-05T13:00:00']
Newly Built 4-Bed Bungalow,10,bungalow,sale,carlton,480000,1600,4,3,2023,none,"['solar panels', 'driveway', 'garden']",2025-02-18T00:00:00,"['2025-01-21T11:00:00', '2025-01-22T15:00:00']",['2025-02-23T14:00:00']
Contemporary 3-Bed House,1,house,sale,hucknall,330000,1100,3,2,2019,full,"['garden', 'driveway', 'open plan']",2025-05-01T00:00:00,"['2025-01-21T11:00:00', '2025-01-22T15:00:00']",['2025-05-05T14:00:00']
Spacious 2-Bed Apartment,2,apartment,rent,riverside,950,750,2,1,2020,none,"['balcony', 'gym', 'close to transport']",2025-02-01T00:00:00,"['2025-01-21T11:00:00', '2025-01-22T15:00:00']",['2025-02-05T13:00:00']
Charming 4-Bed Cottage,3,cottage,sale,mansfield,275000,1200,4,2,1920,part,"['garden', 'fireplace', 'character features']",2025-04-15T00:00:00,"['2025-01-21T11:00:00', '2025-01-22T15:00:00']",['2025-04-18T11:00:00']
Modern 1-Bed Flat,4,flat,rent,beeston,850,500,1,1,2021,full,"['balcony', 'secure entry']",2025-01-28T00:00:00,"['2025-01-21T11:00:00', '2025-01-22T15:00:00']",['2025-01-30T12:00:00']
Spacious 5-Bed Detached House,5,house,sale,city centre,750000,2500,5,4,2010,none,"['double garage', 'garden', 'office']",2025-06-01T00:00:00,"['2025-01-21T11:00:00', '2025-01-22T15:00:00']",['2025-06-10T14:00:00']
Cozy 2-Bed Bungalow,6,bungalow,rent,mapperley,950,850,2,1,2015,part,"['garden', 'solar panels']",2025-03-05T00:00:00,"['2025-01-21T11:00:00', '2025-01-22T15:00:00']",['2025-03-10T12:00:00']
Modern 4-Bed House,7,house,sale,city centre,380000,1700,4,2,2017,full,"['garden', 'driveway', 'balcony']",2025-04-10T00:00:00,"['2025-01-21T11:00:00', '2025-01-22T15:00:00']",['2025-04-12T13:00:00']
Luxury 3-Bed Penthouse,8,penthouse,sale,west bridgford,700000,1500,3,2,2022,full,"['roof terrace', 'elevator', 'parking']",2025-03-25T00:00:00,"['2025-01-21T11:00:00', '2025-01-22T15:00:00']",['2025-03-28T14:00:00']
Charming 2-Bed Flat,9,flat,rent,riverside,950,700,2,1,2018,full,"['secure entry', 'balcony']",2025-01-15T00:00:00,"['2025-01-21T11:00:00', '2025-01-22T15:00:00']",['2025-01-18T11:00:00']
Modern 3-Bed Townhouse,10,townhouse,sale,west bridgford,340000,1100,3,2,2021,full,"['balcony', 'garden', 'garage']",2025-02-25T00:00:00,"['2025-01-21T11:00:00', '2025-01-22T15:00:00']",['2025-03-02T13:00:00']
Spacious 6-Bed House,1,house,sale,beeston,720000,2800,6,4,2015,none,"['garden', 'double garage', 'office']",2025-07-01T00:00:00,"['2025-01-21T11:00:00', '2025-01-22T15:00:00']",['2025-07-05T12:00:00']
Newly Renovated 2-Bed House,2,house,rent,sneinton,1000,900,2,1,2020,full,"['garden', 'modern kitchen']",2025-03-01T00:00:00,"['2025-01-21T11:00:00', '2025-01-22T15:00:00']",['2025-03-04T14:00:00']
Modern 1-Bed Apartment,3,apartment,sale,the park,250000,650,1,1,2021,full,"['balcony', 'modern kitchen']",2025-05-10T00:00:00,"['2025-01-21T11:00:00', '2025-01-22T15:00:00']",['2025-05-12T13:00:00']
Spacious 4-Bed Family Home,4,house,sale,wollaton,420000,1800,4,2,2015,none,"['garden', 'office', 'driveway']",2025-06-15T00:00:00,"['2025-01-21T11:00:00', '2025-01-22T15:00:00']",['2025-06-18T16:00:00']
Contemporary 3-Bed Flat,5,flat,rent,mapperley,950,750,3,2,2019,full,"['balcony', 'secure entry']",2025-01-18T00:00:00,"['2025-01-21T11:00:00', '2025-01-22T15:00:00']",['2025-01-20T11:00:00']
Charming 1-Bed Studio,6,studio,rent,arnold,700,400,1,1,2017,full,"['secure entry', 'close to transport']",2025-02-01T00:00:00,"['2025-01-21T11:00:00', '2025-01-22T15:00:00']",['2025-02-05T13:00:00']
Spacious 4-Bed House,7,house,sale,city centre,450000,2000,4,3,2014,none,"['garden', 'garage', 'office']",2025-05-15T00:00:00,"['2025-01-21T11:00:00', '2025-01-22T15:00:00']",['2025-05-18T14:00:00']
Renovated 2-Bed Flat,8,flat,rent,lenton,900,800,2,1,2020,full,"['balcony', 'modern kitchen']",2025-01-25T00:00:00,"['2025-01-21T11:00:00', '2025-01-22T15:00:00']",['2025-01-28T14:00:00']
Stylish 3-Bed Townhouse,9,townhouse,sale,west bridgford,380000,1200,3,2,2018,part,"['balcony', 'garden', 'office']",2025-03-05T00:00:00,"['2025-01-21T11:00:00', '2025-01-22T15:00:00']",['2025-03-08T13:00:00']
Cozy 2-Bed Cottage,10,cottage,rent,arnold,850,900,2,1,2015,none,"['garden', 'character features']",2025-02-15T00:00:00,"['2025-01-21T11:00:00', '2025-01-22T15:00:00']",['2025-02-17T14:00:00']
